index,startedDateTime,method,url,status,response_mimeType,is_probable_api,response_is_json,response_json_file,request_is_json,request_json_file
5,2025-09-25T11:45:58.396Z,GET,http://192.168.50.100:2400/system,200,application/json,True,True,/Users/giovanni/Desktop/prove-wp/har_output/responses/00005_GET_192.168.50.100_-system_f5adb210.response.json,False,
11,2025-09-25T11:45:58.649Z,GET,http://192.168.50.100:2400/devices,200,application/json,True,True,/Users/giovanni/Desktop/prove-wp/har_output/responses/00011_GET_192.168.50.100_-devices_60132329.response.json,False,
14,2025-09-25T11:45:58.685Z,GET,http://192.168.50.100:2400/devices/monitoring-events,200,application/json,True,True,/Users/giovanni/Desktop/prove-wp/har_output/responses/00014_GET_192.168.50.100_-devices-monitoring-events_b2fdc29f.response.json,False,
15,2025-09-25T11:45:58.703Z,GET,http://192.168.50.100:2400/devices/commands,200,application/json,True,True,/Users/giovanni/Desktop/prove-wp/har_output/responses/00015_GET_192.168.50.100_-devices-commands_6f291888.response.json,False,
16,2025-09-25T11:45:58.714Z,GET,http://192.168.50.100:2400/system/status,200,application/json,True,True,/Users/giovanni/Desktop/prove-wp/har_output/responses/00016_GET_192.168.50.100_-system-status_836066ed.response.json,False,
17,2025-09-25T11:45:58.723Z,GET,http://192.168.50.100:2400/operation-modes/active,200,application/json,True,True,/Users/giovanni/Desktop/prove-wp/har_output/responses/00017_GET_192.168.50.100_-operation-modes-active_84bdd0a1.response.json,False,
19,2025-09-25T11:45:58.743Z,GET,http://192.168.50.100:2400/settings/general,200,application/json,True,True,/Users/giovanni/Desktop/prove-wp/har_output/responses/00019_GET_192.168.50.100_-settings-general_304080d3.response.json,False,
21,2025-09-25T11:45:58.777Z,GET,http://192.168.50.100:2400/devices/monitoring-events,200,application/json,True,True,/Users/giovanni/Desktop/prove-wp/har_output/responses/00021_GET_192.168.50.100_-devices-monitoring-events_644e658e.response.json,False,
22,2025-09-25T11:45:58.778Z,GET,http://192.168.50.100:2400/alerts,200,application/json,True,True,/Users/giovanni/Desktop/prove-wp/har_output/responses/00022_GET_192.168.50.100_-alerts_fe2c45ab.response.json,False,
26,2025-09-25T11:45:58.787Z,GET,http://192.168.50.100:2400/system/state,200,application/json,True,True,/Users/giovanni/Desktop/prove-wp/har_output/responses/00026_GET_192.168.50.100_-system-state_0c66d677.response.json,False,
27,2025-09-25T11:45:58.788Z,GET,http://192.168.50.100:2400/settings/general,200,application/json,True,True,/Users/giovanni/Desktop/prove-wp/har_output/responses/00027_GET_192.168.50.100_-settings-general_e4a19594.response.json,False,
28,2025-09-25T11:45:58.834Z,GET,http://192.168.50.100:2400/devices/commands,200,application/json,True,True,/Users/giovanni/Desktop/prove-wp/har_output/responses/00028_GET_192.168.50.100_-devices-commands_d3f1d6fd.response.json,False,
29,2025-09-25T11:45:58.882Z,GET,http://192.168.50.100:2400/system/status,200,application/json,True,True,/Users/giovanni/Desktop/prove-wp/har_output/responses/00029_GET_192.168.50.100_-system-status_6993f164.response.json,False,
